525BW014.MV,DRYTONSHR,QCSBRIGHTNESS
26.10000038,20.34848595,55.10000229
26.10000038,20.32655525,55.0
26.10000038,20.3631115,55.10000229
26.04598999,20.38068581,55.10000229
26.06529999,20.35373497,55.13470078
26.12631226,20.41915703,55.10000229
26.19621658,20.39229584,55.14425659
26.20000076,20.4490757,55.10000229
26.20000076,20.42479515,55.10000229
26.28093719,20.46520424,55.18164063
26.30000114,20.47999954,55.20000076
26.20000076,20.46945572,55.20000076
26.24818993,20.47995377,55.20000076
26.30000114,20.48929596,55.20000076
26.2861557,20.49086189,55.20000076
26.20000076,20.38444328,55.25267029
26.10000038,20.38043022,55.20054626
26.0,20.32752609,55.20000076
25.95216942,20.29395103,55.20000076
26.0,20.35883331,55.10000229
26.0,20.3599987,55.10000229
26.0,20.35000038,55.0
26.20000076,20.43299103,54.79999924
26.10000038,20.3853054,54.79999924
26.10000038,20.40007019,54.70000076
26.20000076,20.42820168,54.60000229
26.20000076,20.4139595,54.5
26.10000038,20.40786171,54.60000229
26.20000076,20.4452858,54.5
26.20000076,20.43303299,54.5
26.20000076,20.44264793,54.56378937
26.20000076,20.43999863,54.5
26.20000076,20.43999863,54.5
26.20000076,20.45616531,54.40000153
26.30000114,20.4871521,54.40000153
26.20404434,20.48428154,54.441082
26.20000076,20.48138809,54.39553452
26.20000076,20.45270157,54.40000153
26.20000076,20.46924019,54.29999924
26.20000076,20.45999908,54.2128334
26.20000076,20.42000008,54.20000076
26.18903351,20.48981857,54.20000076
26.20000076,20.46597672,54.10000229
26.20000076,20.4203949,54.1354332
26.10000038,20.39959526,54.10000229
26.10000038,20.37962723,54.0
26.10000038,20.3785553,54.0
26.10000038,20.37466049,53.90000153
26.10000038,20.34700203,53.90000153
26.20000076,20.41626358,53.79999924
26.20000076,20.42000008,53.70000076
26.10000038,20.37157822,53.60000229
26.10000038,20.35029984,53.5
26.07237244,20.39507866,53.40000153
26.10000038,20.40222168,53.40000153
26.14299011,20.41610146,53.29999924
26.20000076,20.50770378,53.29999924
26.30000114,20.47362709,53.20000076
26.30000114,20.48999977,53.20000076
26.30000114,20.50354576,53.10000229
26.30000114,20.47764587,53.10000229
26.29328918,20.49248886,52.90671158
26.23994446,20.46112442,53.0
26.10000038,20.4150753,53.0
26.10000038,20.38896179,53.0
26.20000076,20.44082451,53.0
26.20000076,20.48608398,53.0
26.20000076,20.40256119,53.00955582
26.20000076,20.45999908,53.10000229
26.1439209,20.42991638,53.10000229
26.20000076,20.43094635,53.11993027
26.20000076,20.46138954,53.24545288
26.17957878,20.44543076,53.29999924
26.14183235,20.40942001,53.40413666
26.11094666,20.38365936,53.5
26.10781288,20.42650604,53.60000229
26.20000076,20.43506432,53.70000076
26.10000038,20.37966537,53.79999924
26.10000038,20.36689377,53.90000153
26.20000076,20.41767502,53.90000153
26.10000038,20.37665176,54.0
26.20000076,20.43141556,54.10000229
26.21383667,20.45695114,54.0
26.30000114,20.50973511,54.10000229
26.28980064,20.48709488,54.10000229
26.30000114,20.53675079,54.20000076
26.20000076,20.44779587,54.20000076
26.05071831,20.36999893,54.20000076
26.0,20.28999901,54.20000076
26.0,20.28999901,54.20000076
25.89999962,20.28471756,54.29999924
25.89999962,20.32949257,54.29999924
25.94347572,20.29999924,54.40000153
26.04005623,20.34000015,54.29999924
26.10000038,20.36828995,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.10000038,20.28999901,54.40000153
26.19592285,20.28999901,53.6676178
26.10000038,20.37304878,54.0
26.10000038,20.36107254,54.0
26.10000038,20.38919258,53.99483871
26.07509613,20.35635948,53.90000153
26.26379776,20.41175079,53.90000153
26.30000114,20.41421318,53.90000153
26.30000114,20.45221901,53.94024658
